split_scheme,model,fold,endpoint,seconds,n_train,n_test
murcko_scaffold,ecfp4_lightgbm,2,CYP2D6_is_TDI,0.6185987369999566,1461,36
murcko_scaffold,endpoint_mean,3,CYP1A2_pIC50_direct_inhibition,0.0007239230003506236,1383,29
murcko_scaffold,endpoint_median,3,CYP1A2_pIC50_direct_inhibition,0.000625263000074483,1383,29
murcko_scaffold,ecfp4_knn,3,CYP1A2_pIC50_direct_inhibition,0.007162677999986045,1383,29
murcko_scaffold,ecfp4_random_forest,3,CYP1A2_pIC50_direct_inhibition,0.6165153080000891,1383,29
murcko_scaffold,ecfp4_lightgbm,3,CYP1A2_pIC50_direct_inhibition,0.5816542130000926,1383,29
murcko_scaffold,endpoint_mean,3,CYP2C9_pIC50_direct_inhibition,0.0006829610001659603,1254,31
murcko_scaffold,endpoint_median,3,CYP2C9_pIC50_direct_inhibition,0.00037539699997068965,1254,31
murcko_scaffold,ecfp4_knn,3,CYP2C9_pIC50_direct_inhibition,0.007114864999948622,1254,31
murcko_scaffold,ecfp4_random_forest,3,CYP2C9_pIC50_direct_inhibition,0.7046361120001166,1254,31
murcko_scaffold,ecfp4_lightgbm,3,CYP2C9_pIC50_direct_inhibition,0.3418310400002156,1254,31
murcko_scaffold,endpoint_mean,3,CYP2D6_pIC50_direct_inhibition,0.000705383999957121,1463,30
murcko_scaffold,endpoint_median,3,CYP2D6_pIC50_direct_inhibition,0.000357830000211834,1463,30
murcko_scaffold,ecfp4_knn,3,CYP2D6_pIC50_direct_inhibition,0.007682882999688445,1463,30
murcko_scaffold,ecfp4_random_forest,3,CYP2D6_pIC50_direct_inhibition,0.8557613230000243,1463,30
murcko_scaffold,ecfp4_lightgbm,3,CYP2D6_pIC50_direct_inhibition,0.37506956299966987,1463,30
murcko_scaffold,endpoint_mean,3,CYP3A4_pIC50_direct_inhibition,0.001189895000152319,2251,84
murcko_scaffold,endpoint_median,3,CYP3A4_pIC50_direct_inhibition,0.0009685420000096201,2251,84
murcko_scaffold,ecfp4_knn,3,CYP3A4_pIC50_direct_inhibition,0.03232086800016987,2251,84
murcko_scaffold,ecfp4_random_forest,3,CYP3A4_pIC50_direct_inhibition,1.1554208729999118,2251,84
murcko_scaffold,ecfp4_lightgbm,3,CYP3A4_pIC50_direct_inhibition,0.533252229000027,2251,84
murcko_scaffold,endpoint_mean,3,CYP3A4_is_TDI,0.001713215000108903,3483,101
murcko_scaffold,endpoint_median,3,CYP3A4_is_TDI,0.001485851999859733,3483,101
murcko_scaffold,ecfp4_knn,3,CYP3A4_is_TDI,0.0606974860002083,3483,101
murcko_scaffold,ecfp4_random_forest,3,CYP3A4_is_TDI,2.170931040999676,3483,101
murcko_scaffold,ecfp4_lightgbm,3,CYP3A4_is_TDI,0.6357481109998844,3483,101
murcko_scaffold,endpoint_mean,3,CYP2D6_is_TDI,0.0007498820000364503,1467,30
murcko_scaffold,endpoint_median,3,CYP2D6_is_TDI,0.000418380999690271,1467,30
murcko_scaffold,ecfp4_knn,3,CYP2D6_is_TDI,0.008455207000224618,1467,30
murcko_scaffold,ecfp4_random_forest,3,CYP2D6_is_TDI,1.0073713390002013,1467,30
